GraphNo,Stadd1,aCo,bCo,cCo
187,652,1,348,121104
187,0,1,1000,1000000
188,639,1,361,130321
188,0,1,1000,1000000
189,663,1,337,113569
189,0,1,1000,1000000
190,644,1,356,126736
190,0,1,1000,1000000
191,658,1,342,116964
191,0,1,1000,1000000
192,660,1,340,115600
192,0,1,1000,1000000
193,651,1,349,121801
193,0,1,1000,1000000
194,649,1,351,123201
194,0,1,1000,1000000
195,661,1,339,114921
195,0,1,1000,1000000
196,660,1,340,115600
196,0,1,1000,1000000
197,664,1,336,112896
197,0,1,1000,1000000
198,651,1,349,121801
198,0,1,1000,1000000
199,665,1,335,112225
199,0,1,1000,1000000
200,648,1,352,123904
200,0,1,1000,1000000
201,644,1,356,126736
201,0,1,1000,1000000
202,639,1,361,130321
202,0,1,1000,1000000
203,646,1,354,125316
203,0,1,1000,1000000
204,648,1,352,123904
204,0,1,1000,1000000
205,649,1,351,123201
205,0,1,1000,1000000
206,640,1,360,129600
206,0,1,1000,1000000
207,626,1,374,139876
207,0,1,1000,1000000
208,643,1,357,127449
208,0,1,1000,1000000
209,661,1,339,114921
209,0,1,1000,1000000
210,648,1,352,123904
210,0,1,1000,1000000
211,658,1,342,116964
211,0,1,1000,1000000
212,659,1,341,116281
212,0,1,1000,1000000
213,635,1,365,133225
213,0,1,1000,1000000
214,657,1,343,117649
214,0,1,1000,1000000
215,627,1,373,139129
215,0,1,1000,1000000
216,642,1,358,128164
216,0,1,1000,1000000
217,652,1,348,121104
217,0,1,1000,1000000
218,650,1,350,122500
218,0,1,1000,1000000
219,658,1,342,116964
219,0,1,1000,1000000
220,652,1,348,121104
220,0,1,1000,1000000
221,635,1,365,133225
221,0,1,1000,1000000
222,652,1,348,121104
222,0,1,1000,1000000
223,668,1,332,110224
223,0,1,1000,1000000
224,657,1,343,117649
224,0,1,1000,1000000
225,640,1,360,129600
225,0,1,1000,1000000
226,617,1,383,146689
226,0,1,1000,1000000
227,668,1,332,110224
227,0,1,1000,1000000
228,637,1,363,131769
228,0,1,1000,1000000
229,647,1,353,124609
229,0,1,1000,1000000
230,675,1,325,105625
230,0,1,1000,1000000
231,662,1,338,114244
231,0,1,1000,1000000
232,650,1,350,122500
232,0,1,1000,1000000
233,649,1,351,123201
233,0,1,1000,1000000
234,640,1,360,129600
234,0,1,1000,1000000
235,652,1,348,121104
235,0,1,1000,1000000
236,678,1,322,103684
236,0,1,1000,1000000
237,613,1,387,149769
237,0,1,1000,1000000
238,663,1,337,113569
238,0,1,1000,1000000
239,657,1,343,117649
239,0,1,1000,1000000
240,643,1,357,127449
240,0,1,1000,1000000
241,638,1,362,131044
241,0,1,1000,1000000
242,636,1,364,132496
242,0,1,1000,1000000
243,660,1,340,115600
243,0,1,1000,1000000
244,616,1,384,147456
244,0,1,1000,1000000
245,663,1,337,113569
245,0,1,1000,1000000
246,629,1,371,137641
246,0,1,1000,1000000
247,672,1,328,107584
247,0,1,1000,1000000
248,655,1,345,119025
248,0,1,1000,1000000
249,643,1,357,127449
249,0,1,1000,1000000
250,646,1,354,125316
250,0,1,1000,1000000
251,679,1,321,103041
251,0,1,1000,1000000
252,658,1,342,116964
